GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,com.gmp.auth.filter,JwtAuthenticationFilter,34,102,3,9,10,21,3,7,0,4
auth-service,com.gmp.auth.init,UserInitializer,894,25,28,0,106,2,24,2,10,2
auth-service,com.gmp.auth.init,RolePermissionInitializer.PermissionData,0,21,0,0,0,8,0,1,0,1
auth-service,com.gmp.auth.init,SubsystemPermissionInitializer,5,15,0,0,2,6,0,3,0,3
auth-service,com.gmp.auth.init,AuthSystemApplicationInitializer,33,0,0,0,12,0,3,0,3,0
auth-service,com.gmp.auth.init,UserInitializer.UserData,24,0,0,0,9,0,1,0,1,0
auth-service,com.gmp.auth.init,RolePermissionInitializer,25,1851,4,16,6,211,3,29,0,22
auth-service,com.gmp.auth.init,RolePermissionInitializer.RoleData,0,18,0,0,0,7,0,1,0,1
auth-service,com.gmp.auth.init,OrganizationStructureInitializer,29,6,0,0,9,3,1,1,1,1
auth-service,com.gmp.auth.init,UserInitializer.UserOrgRoleData,12,0,0,0,5,0,1,0,1,0
auth-service,com.gmp.auth.entity,OperationLog.Builder,0,111,0,0,0,32,0,16,0,16
auth-service,com.gmp.auth.entity,UserRole.UserRoleBuilder,26,68,0,2,0,1,2,10,2,9
auth-service,com.gmp.auth.entity,User.UserStatus,0,42,0,0,0,9,0,3,0,3
auth-service,com.gmp.auth.entity,Organization,715,194,151,17,5,25,102,34,26,26
auth-service,com.gmp.auth.entity,Role.RoleBuilder,43,96,0,4,0,1,4,13,4,11
auth-service,com.gmp.auth.entity,RolePermission.RolePermissionBuilder,44,58,1,1,0,1,6,7,5,7
auth-service,com.gmp.auth.entity,Role,498,120,103,5,27,18,74,18,22,16
auth-service,com.gmp.auth.entity,Organization.OrganizationBuilder,53,173,0,10,0,1,3,23,3,18
auth-service,com.gmp.auth.entity,OperationLog.Result,0,28,0,0,0,7,0,3,0,3
auth-service,com.gmp.auth.entity,Organization.OrganizationType,0,84,0,0,0,15,0,3,0,3
auth-service,com.gmp.auth.entity,Organization.OrganizationStatus,0,49,0,0,0,10,0,3,0,3
auth-service,com.gmp.auth.entity,SubsystemPermission.SubsystemPermissionBuilder,94,0,0,0,1,0,12,0,12,0
auth-service,com.gmp.auth.entity,Permission.PermissionBuilder,52,105,0,4,0,1,5,14,5,12
auth-service,com.gmp.auth.entity,UserOrganizationRole.UserOrganizationRoleBuilder,190,110,4,4,0,1,28,6,24,6
auth-service,com.gmp.auth.entity,RolePermission,395,54,78,0,9,6,61,5,22,5
auth-service,com.gmp.auth.entity,OperationLog.Module,0,49,0,0,0,10,0,3,0,3
auth-service,com.gmp.auth.entity,UserRole,320,115,71,9,9,29,46,22,10,18
auth-service,com.gmp.auth.entity,OperationLog.OperationType,0,98,0,0,0,17,0,3,0,3
auth-service,com.gmp.auth.entity,Permission.ResourceType,0,27,0,0,0,5,0,1,0,1
auth-service,com.gmp.auth.entity,User.UserBuilder,124,140,0,6,0,1,14,16,14,13
auth-service,com.gmp.auth.entity,OperationLog,6,238,2,8,2,94,2,38,0,35
auth-service,com.gmp.auth.entity,User,928,341,204,18,28,49,130,57,25,51
auth-service,com.gmp.auth.entity,Permission,381,354,108,34,27,27,81,31,18,23
auth-service,com.gmp.auth.entity,Subsystem,157,85,16,6,9,24,24,18,13,18
auth-service,com.gmp.auth.entity,Subsystem.SubsystemBuilder,119,0,0,0,1,0,15,0,15,0
auth-service,com.gmp.auth.entity,UserOrganizationRole,1211,148,250,0,99,16,184,11,59,11
auth-service,com.gmp.auth.entity,SubsystemPermission,218,6,26,0,22,2,40,1,27,1
auth-service,com.gmp.auth.entity,UserOrganizationRole.AssignmentStatus,13,60,4,0,2,11,4,2,2,2
auth-service,com.gmp.auth.dto,MfaEnableRequest,131,24,30,0,0,4,19,7,4,7
auth-service,com.gmp.auth.dto,ApiResponse,172,128,42,0,0,20,24,19,3,19
auth-service,com.gmp.auth.dto,MfaVerifyRequest,98,17,22,0,0,3,15,5,4,5
auth-service,com.gmp.auth.dto,PasswordResetRequest,164,31,38,0,0,5,23,9,4,9
auth-service,com.gmp.auth.dto,AssignRoleRequest,131,24,30,0,0,4,19,7,4,7
auth-service,com.gmp.auth.dto,TokenResponse,16,18,0,0,6,8,5,4,5,4
auth-service,com.gmp.auth.dto,CreateUserRequest,184,38,42,0,0,6,25,11,4,11
auth-service,com.gmp.auth.dto,LoginResponse,4,99,1,1,2,41,2,27,1,27
auth-service,com.gmp.auth.dto,LoginRequest,0,64,0,0,0,26,0,17,0,17
auth-service,com.gmp.auth.dto,PasswordChangeRequest,0,27,0,0,0,11,0,8,0,8
auth-service,com.gmp.auth.exception,InvalidSessionException,9,0,0,0,4,0,2,0,2,0
auth-service,com.gmp.auth.exception,AccountDisabledException,9,0,0,0,4,0,2,0,2,0
auth-service,com.gmp.auth.exception,TokenException.ExpiredTokenException,4,4,0,0,2,2,1,1,1,1
auth-service,com.gmp.auth.exception,TokenException.UnsupportedTokenException,4,0,0,0,2,0,1,0,1,0
auth-service,com.gmp.auth.exception,GlobalExceptionHandler.ErrorResponse,4,68,0,0,2,26,1,13,1,13
auth-service,com.gmp.auth.exception,AccountLockedException,9,0,0,0,4,0,2,0,2,0
auth-service,com.gmp.auth.exception,TokenException.RevokedTokenException,4,0,0,0,2,0,1,0,1,0
auth-service,com.gmp.auth.exception,TokenException,5,4,0,0,2,2,1,1,1,1
auth-service,com.gmp.auth.exception,TokenException.SignatureException,4,0,0,0,2,0,1,0,1,0
auth-service,com.gmp.auth.exception,GlobalExceptionHandler,61,108,0,6,13,26,3,9,3,6
auth-service,com.gmp.auth.exception,AuthenticationException,9,0,0,0,4,0,2,0,2,0
auth-service,com.gmp.auth.exception,InvalidRecoveryCodeException,9,0,0,0,4,0,2,0,2,0
auth-service,com.gmp.auth.exception,BusinessException,34,0,0,0,14,0,6,0,6,0
auth-service,com.gmp.auth.exception,TokenException.InvalidTokenException,4,4,0,0,2,2,1,1,1,1
auth-service,com.gmp.auth.exception,InvalidMfaCodeException,9,0,0,0,4,0,2,0,2,0
auth-service,com.gmp.auth.exception,InvalidTokenException,9,0,0,0,4,0,2,0,2,0
auth-service,com.gmp.auth.exception,InvalidPasswordException,5,4,0,0,2,2,1,1,1,1
auth-service,com.gmp.auth.exception,MfaNotEnabledException,5,4,0,0,2,2,1,1,1,1
auth-service,com.gmp.auth,AuthApplication,5,3,0,0,2,1,1,1,1,1
auth-service,com.gmp.auth.test,AuthSystemTestExecutor,529,0,22,0,112,0,30,0,19,0
auth-service,com.gmp.auth.test,AuthTestErrorHandler.ErrorRecord,33,0,0,0,12,0,6,0,6,0
auth-service,com.gmp.auth.test,AuthTestErrorHandler.ErrorType,0,51,0,0,0,9,0,1,0,1
auth-service,com.gmp.auth.test,AuthTestErrorHandler,448,46,41,2,105,8,34,3,12,2
auth-service,com.gmp.auth.test,AuthSystemTestScript,272,31,14,0,86,2,19,2,12,2
